id,proveedor,fruta,cantidad_prog,unidad,fecha_programada,observaciones,estado,actualizado
,Yoffre Noguera ,MARACUYA-MP00014,7000.0,KG,2026-07-06 07:00,,Programada,2026-07-06 09:00:48
,Guanabana Big,MOTA GUANÁBANA-MP00028,2000.0,KG,2026-07-06 12:00,,Programada,2026-07-06 09:00:48
,Fripa,MOTA GUANÁBANA-MP00028,2000.0,KG,2026-07-06 15:00,,Programada,2026-07-06 09:00:48
