id,proveedor,fruta,cantidad_prog,unidad,fecha_programada,observaciones,estado,actualizado
,Yoffre Noguera ,MARACUYA-MP00014,7000.0,KG,2026-08-17 06:30,,Programada,2026-08-17 07:50:11
,Guanabana Big,MOTA GUANÁBANA-MP00028,5000.0,KG,2026-08-17 10:00,,Programada,2026-08-17 07:50:11
,Fripa,MOTA GUANÁBANA-MP00028,3000.0,KG,2026-08-17 12:00,,Programada,2026-08-17 07:50:11
,Pedro Diaz,MOTA GUANÁBANA-MP00028,1000.0,KG,2026-08-17 14:00,,Programada,2026-08-17 07:50:11
