check_name,check_title,quality_state,punto_control,plantilla,productos,picking,origen_doc,fecha_programada,produccion,partner,responsable,equipo,fecha_asignacion,actualizado
QC00917,Ingreso de Materia Prima,Pendiente,QCP00001,LIBERACIÓN DE MATERIA PRIMA,[MP00028] MOTA GUANABANA,BDG/IN/00487,P00478,2026-06-30,,MINFARMS S.A.S.,,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-06-29 16:59,2026-07-01 06:00:26
QC00925,Fabricación de Productos,Aprobado,QCP00002,LIBERACIÓN DE PRODUCTO EN PROCESO,[PTEXP025] PULPA DE MORA 250 G X 12 U,SEM/SFP/00668,SEM/MO/00728,2026-06-30,,,EARVIN GUAMBI,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-06-30 19:02,2026-07-01 06:00:26
QC00926,Fabricación de Productos,Aprobado,QCP00002,LIBERACIÓN DE PRODUCTO EN PROCESO,[PTEXP030] PULPA DE PIÑA CONGELADA 250 G X 12 U,SEM/SFP/00669,SEM/MO/00729,2026-06-30,,,EARVIN GUAMBI,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-06-30 19:04,2026-07-01 06:00:26
QC00927,Fabricación de Productos,Aprobado,QCP00002,LIBERACIÓN DE PRODUCTO EN PROCESO,[PTEXP032] MORA ENTERA 8 X 14 OZ,SEM/SFP/00670,SEM/MO/00730,2026-06-30,,,EARVIN GUAMBI,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-06-30 19:06,2026-07-01 06:00:26
QC00928,Fabricación de Productos,Aprobado,QCP00002,LIBERACIÓN DE PRODUCTO EN PROCESO,[PTEXP025] PULPA DE MORA 250 G X 12 U,SEM/SFP/00671,SEM/MO/00711,2026-06-30,,,EARVIN GUAMBI,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-06-30 19:22,2026-07-01 06:00:26
QC00929,Fabricación de Productos,Pendiente,QCP00002,LIBERACIÓN DE PRODUCTO EN PROCESO,[TOPP008] TOPPING DE FRUTILLA 12 BX,SEM/SFP/00673,SEM/MO/00705,2026-06-30,,,,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-06-30 22:46,2026-07-01 06:00:26
