check_name,check_title,quality_state,punto_control,plantilla,productos,picking,origen_doc,fecha_programada,produccion,partner,responsable,equipo,fecha_asignacion,actualizado
QC01564,Fabricación de Productos,Aprobado,QCP00002,LIBERACIÓN DE PRODUCTO EN PROCESO,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,SEM/SFP/01174,SEM/MO/01311,2026-08-25,,,EARVIN GUAMBI,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-08-25 19:01,2026-08-26 10:31:05
QC01565,Fabricación de Productos,Aprobado,QCP00002,LIBERACIÓN DE PRODUCTO EN PROCESO,[PTEXP004] GUAVA PULP 12 X 14 OZ,SEM/SFP/01175,SEM/MO/01310,2026-08-25,,,EARVIN GUAMBI,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-08-25 19:04,2026-08-26 10:31:05
QC01514,Salida de Productos,Pendiente,QCP00003,LIBERACIÓN DE PRODUCTO TERMINADO,[PTEXP005] BLACKBERRY PULP 12 X 14 OZ | [PTEXP003] NARANJILLA PULP 12 X 14 OZ | [PTEXP004] GUAVA PULP 12 X 14 OZ | [PTEXP002] SOURSOP PULP 12 X 14 OZ | [PTEXP006] TAMARILLO PULP 12 X 14 OZ | [PTEXP007] PASSION FRUIT PULP 12 X 14 OZ | [PTEXP009] PINEAPPLE PULP 12 X 14 OZ | [PTEXP001] MANGO PULP 12 X 14 OZ,PDT/OUT/00013,"S00020,PDT/PICK/00206",2026-04-21,,,,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-08-20 16:51,2026-08-26 10:31:05
QC01566,Salida de Productos,Aprobado,QCP00003,LIBERACIÓN DE PRODUCTO TERMINADO,[PTEXP003] NARANJILLA PULP 12 X 14 OZ | [PTEXP004] GUAVA PULP 12 X 14 OZ,PDT/OUT/00115,S00148,2026-08-25,,PROBA LLC,BRYAN ULCO,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-08-25 19:07,2026-08-26 10:31:05
QC01567,Salida de Productos,Aprobado,QCP00003,LIBERACIÓN DE PRODUCTO TERMINADO,[PTEXP003] NARANJILLA PULP 12 X 14 OZ | [PTEXP004] GUAVA PULP 12 X 14 OZ,PDT/OUT/00115,S00148,2026-08-25,,PROBA LLC,BRYAN ULCO,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-08-25 19:07,2026-08-26 10:31:05
QC01550,Ingreso de Insumos,Pendiente,QCP00004,LIBERACIÓN DE INSUMOS,[INS007] CLORO 10% | [INS014] JABON BC ALK CLOR | [INS013] JABON ALK 25,BDG/IN/00799,P00767,2026-08-26,,APRACOM S.A.,,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-08-25 16:49,2026-08-26 10:31:05
QC01551,Ingreso de Insumos,Pendiente,QCP00004,LIBERACIÓN DE INSUMOS,[INS007] CLORO 10% | [INS014] JABON BC ALK CLOR | [INS013] JABON ALK 25,BDG/IN/00799,P00767,2026-08-26,,APRACOM S.A.,,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-08-25 16:49,2026-08-26 10:31:05
QC01552,Ingreso de Insumos,Pendiente,QCP00004,LIBERACIÓN DE INSUMOS,[INS007] CLORO 10% | [INS014] JABON BC ALK CLOR | [INS013] JABON ALK 25,BDG/IN/00799,P00767,2026-08-26,,APRACOM S.A.,,EQUIPO DE CALIDAD - HEALTHY FOOD,2026-08-25 16:49,2026-08-26 10:31:05
